Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Azerbaijan,AZE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,5.52,4.38,3.29,3.47,4.61,4.33,3.87,3.53,5.44,3.47,3.46,3.31,2.41,2.97,2.84,2.74,3.75,4.57,3.95,5.86,5.51,4.54,,,
Burundi,BDI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95,5.01,4.56,3.55,5.14,5.59,2.98,2.03,7.25,10.42,2.36,1.71,1.94,3.36,4.48,7.52,5.95,2.72,4.8,2.43,3.01,2.94,1.91,,,
Belgium,BEL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,7.17,5.76,5.48,5.07,4.64,4.15,3.79,3.56,3.87,3.81,3.39,3.2,3.12,3.44,3.84,3.62,3.46,3.21,4.06,4.44,3.65,3.24,,,
Benin,BEN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.61,1.8,3.37,4.02,2.87,3.2,1.98,3.01,2.85,1.95,2.08,1.48,2.14,1.35,1.84,1.42,1.95,1.89,1.53,2.36,2.51,1.58,,,
Burkina Faso,BFA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,2.59,3.74,4.05,5.74,4.45,2.93,3.95,2.28,2.8,2.64,2.91,2.6,1.85,2.36,3.18,2.5,3.58,3.35,2.74,2.65,3.08,,,,
Bangladesh,BGD,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,3.52,2.3,2.58,3.91,6.15,6.66,5.14,4,3.76,4.05,3.44,3.03,2.93,,3.06,,,,,,,,,,
Bulgaria,BGR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,6.14,5.6,5.77,5.17,5.51,5.26,5.39,4.96,5.7,5.64,5.61,6.2,4.71,4.93,5.15,5.37,4.94,5.05,5.24,5.66,5.88,4.8,,,
Bahrain,BHR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,3.34,3.12,3.58,2.69,2.09,1.67,1.39,2.17,2.81,2.81,3.34,4.61,3.37,3.77,4.62,4.81,3.94,4.19,3.92,4.37,4.87,3.91,,,
"Bahamas, The",BHS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,4.36,3.38,3.48,3.03,3.18,2.94,2.78,2.06,2.45,2.83,2.74,3.89,2.9,3,3.55,3.38,3.64,2.8,2.33,3.01,,,,,
Bosnia and Herzegovina,BIH,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,3.25,4.17,3.59,3.27,3.61,3.15,2.89,2.57,2.68,2.8,2.93,3.02,2.96,2.62,2.64,2.83,3.05,2.69,2.39,,,
Belarus,BLR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.06,2.25,2.32,2.33,2.4,2.61,2.17,2.01,1.85,2.43,1.71,2.44,3.62,3.17,2.88,3.25,3.27,3.61,3.7,3.91,3.61,,,,
Belize,BLZ,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,3.2,3.11,3.1,4.04,4.46,2.42,2.32,4.27,2.27,3.12,2.39,3.72,2.91,3.06,3.45,4.96,3.12,3.57,3.13,2.86,2.68,2.6,,,
Bermuda,BMU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,3.21,3.56,2.87,3.35,3.21,3.21,3.6,3,2.02,2.55,2.83,2.4,,,
Bolivia,BOL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,6.8,4.64,3.29,4.21,3.87,3.6,3.82,3.4,3.59,3.46,3.43,3.43,3.15,3.75,4.34,4.28,4.11,4.29,4.5,3.31,3.14,2.49,,,
Brazil,BRA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11,11.72,9.4,9.75,10.7,11.74,12.1,9.8,9.07,9.24,9.33,8.74,8.69,8.5,8.64,8.22,8.21,9.57,8.66,8.69,9.79,8.98,6.13,,,
Barbados,BRB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,7.77,8,9.2,10.82,7.85,7.72,9.92,5.57,6.38,6.13,5.03,4.43,5.43,5.37,5.45,5.33,4.52,3.7,3.08,4.85,5.58,3.88,,,
Brunei Darussalam,BRN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,4.41,7.31,4.62,,6.06,6.27,5.36,4.71,5,4.33,4.12,4.87,4.92,4.48,4.42,3.29,2.99,2.09,3.97,1.78,1.53,,,
Bhutan,BTN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,4.71,4.82,4.04,5.38,2.49,2.38,2.38,,,,,,,,,,,,,
Botswana,BWA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,4.9,5.73,5.85,4.96,4.75,4.31,4.46,3.42,4.6,3.17,1.86,1.82,1.19,2.27,2.3,2.65,2.99,2.98,2.93,2.98,2.27,2.5,,,
Central African Republic,CAF,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,2.33,2.94,2.39,2,2.44,0.01,7.95,7.68,6.79,7.67,5.9,7.04,5.26,6.62,6.6,8.24,4.07,3.87,5.08,5.91,,,,,
Canada,CAN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09,10.93,9.57,9.04,9.33,9.07,8.76,8.3,7.94,8.42,8.43,7.99,7.32,7.3,6.88,7.12,7.08,7.23,7.23,7.15,7.71,7.43,6.75,,,
Central Europe and the Baltics,CEB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.884980788,10.08383109,9.860140939,9.618069112,9.882415879,9.631157789,10.23583226,10.60177295,10.37025133,11.78150749,12.61496531,10.57665871,10.3216763,10.20964509,10.14857426,10.88092967,10.40070116,10.59656865,10.38474461,10.64298051,11.90493093,10.7518845,9.06518727,,,
Switzerland,CHE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.849798026,8.586642233,7.620406713,7.325024546,7.325828601,7.405696645,6.438702247,5.908034928,5.646244455,5.721011189,5.875497626,5.585439531,3.654112254,3.495190737,4.081822068,4.136980411,3.662092166,3.912047819,3.906096637,3.845902498,3.77678429,,,,,
Channel Islands,CHI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,9.1,8.57,7.69,8.22,7.77,8.39,7.35,6.05,7.22,7.8,7.02,7.1,7.48,6.73,8.34,8.8,8.42,8,7.59,8.92,8.98,5.5,,,
China,CHN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.19,21.01,23.17,24.05,23.82,25.28,26.07,24.55,21.19,21.9,20.4,18,19.56,20.55,19.71,23.35,23.76,22.72,22.67,22.41,24.95,23.71,22.14,,,
Cote d'Ivoire,CIV,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,2.89,2.87,3.13,3.61,3.75,4.09,3.86,3.53,3.96,3.33,3.08,2.48,2.07,2.53,2.21,4.16,3.12,3.19,3.47,2.77,,,,,
Cameroon,CMR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.75,2.86,4.3,4.21,3.2,2.61,3.49,4.02,3.75,2.56,2.78,2.71,3.65,4.21,3.4,7.6,3.39,4.4,,,,,,,
"Congo, Dem. Rep.",COD,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,2.01,2.23,1.79,2.11,1.99,2.4,,,,
"Congo, Rep.",COG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.55,0.87,0.89,0.81,0.67,0.59,0.72,0.63,0.57,1.47,1.37,2.25,2.63,1.55,,,,
Colombia,COL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.33,9.86,10.89,10.13,13.04,11.92,10.88,10.14,8.81,9.63,8.5,8.97,9.95,10.17,9.33,9.21,9.62,9.9,9.91,10.91,9.62,,,,
Comoros,COM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,7.06,6.17,5.18,4.88,2.72,8.01,4.19,2.65,7.03,1.66,1.69,3.94,4.08,1.45,1.64,1.84,1.8,1.88,1.18,2,3.01,,,,
Cabo Verde,CPV,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,4.5,3.77,3.08,3.76,3.85,3.99,3.07,2.78,3.57,7.55,3.32,3.67,3.89,4.41,4.53,5.07,5.02,3.5,3.04,3.32,,,,,
Costa Rica,CRI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,20.28,22.18,23.15,20.53,23.69,24.36,18.2,18.28,17.1,17.72,18.21,18.31,18.47,13.55,9.16,7.2,7.48,7.64,7.53,8.1,7.11,,,,
Caribbean small states,CSS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.351684508,4.447908272,4.727521763,4.271071979,4.256789036,4.205799436,4.557753017,4.036475769,2.98479232,3.290319677,3.372090308,2.983290392,3.248688206,2.725003442,3.187099518,4.078491985,3.242705281,3.493893205,2.706979193,2.630854748,3.106777256,3.062055016,,,,
Cuba,CUB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,5.37,5.43,4.85,4.47,2.64,2.05,,,,,,,,,,,,,,,,,,,
Curacao,CUW,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,4.27,,,,
Cyprus,CYP,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,6.04,5.72,6.4,7.16,10.78,7.46,5.21,4.66,5.19,4.69,4.56,4.11,4.44,3.61,3.88,3.55,3.44,3.5,4.07,4.54,4.75,3.81,,,
Czechia,CZE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67,11.01,11.39,12.14,12.21,11.18,13.56,14.74,14.19,15.7,17.79,15.82,14.73,13.72,14.11,15.63,14.24,15.33,16.33,17.39,20.1,16.93,16.72,,,
Germany,DEU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64,12.49,12.16,11.01,11.27,11.5,10.93,8.86,8.42,8.8,9.54,8,7.84,7.36,7.74,8.44,8.5,8.78,8.55,8.37,8.98,8.53,7.48,,,
Djibouti,DJI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,,,,,,,,,,,,,,,,
Dominica,DMA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,6.35,6.54,7.96,10.42,8.31,6.74,6.12,3.8,4.95,4.81,,4.31,,,,,,,,,,,,,
Denmark,DNK,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,11.55,12.74,11.36,10.95,10.29,9.51,8.64,7.2,7.86,7.96,7.89,8.07,7.35,7.22,7.68,7.72,7.57,7.01,7.39,8.42,7.41,6.89,,,
