Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Estonia,EST,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05,14.61,10.34,12.26,11.86,13,9.84,6.68,6.23,5.61,9.64,11.43,10.54,10.6,11.5,11.21,11.53,9.4,8.48,7.47,7.67,7.61,6.13,,,
Ethiopia,ETH,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,4.19,5.38,6.2,8.92,7.02,4.16,6.22,6.91,7.58,8.31,3.72,3.31,2.76,4.97,7.49,5.75,3.83,2.84,3.01,3.65,3.36,,,,
European Union,EUU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96775766,11.54952187,10.60558155,10.31400307,10.59217176,10.40331474,10.03593511,8.923450128,8.276449377,8.713698479,9.223939326,7.908973274,7.581616936,7.358587677,7.524907963,8.025428318,7.947401284,7.994971378,7.785738725,7.94528574,8.73304758,8.096782729,6.754116506,,,
Fragile and conflict affected situations,FCS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.117522775,4.583442259,4.305739122,3.13287037,3.594297703,3.008415125,2.490293064,,,,,,,,,,,
Finland,FIN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63,15.34,14.43,12.93,12.62,14.29,13.34,12.36,11.05,10.18,8.23,7.13,6.91,5.77,6.24,6.89,7.29,7.07,7.33,7.06,7.09,6.9,5.73,,,
Fiji,FJI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,4.74,5.06,4.73,4.77,2.92,4.93,4.6,3.87,3.67,4.25,3.66,5.72,4.31,4.82,5.24,4.96,4.88,4.61,5.36,4.13,,,
France,FRA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85,10.51,9.33,8.76,8.89,8.54,8.74,7.17,6.54,7.07,7.33,6.72,6.25,6.29,6.21,6.67,6.67,6.51,6.14,6.18,6.68,6.45,5.35,,,
Faroe Islands,FRO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.95,6.05,4.12,5.19,4.29,5.83,4.66,4.7,4.26,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,2.25,2.77,2.34,5.98,1.97,1.78,2.27,1.3,1.14,1.91,,,,,,,,,,,,
Gabon,GAB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63,4.55,3.78,5.52,3.91,3.73,4.71,3.74,3.23,3.5,,,,,,,,,,,,,,,,
United Kingdom,GBR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67,15.63,13.58,12.79,13.23,12.86,13.71,10.12,9.19,4.81,9.49,8.23,7.3,7.86,7.82,8.29,7.63,7.77,8.08,7.57,8.23,7.56,7.26,,,
Georgia,GEO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11,4.78,5.59,4.21,3.99,4.39,6.04,6.25,6.96,4.63,5.19,4.92,4.8,5.08,5.5,4.79,4.64,5.7,5.07,4.45,4.06,4.84,5.13,,,
Ghana,GHA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,2.23,2.29,3.64,,4.81,5.41,4.94,6.37,4.57,7.13,5.71,4.55,3.77,2.86,2.24,2.5,2.51,2.39,2.47,,,,,,
Gibraltar,GIB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.64,1.46,,3.58,0.75,2.53,5.49,5.19,,,,,2.82,3.2,0.96,1.63,,,,,,,,,
"Gambia, The",GMB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,3.23,3.74,4.44,3.99,4.98,6.4,4.07,4.06,2.91,1.78,1.94,3.03,1.76,2.21,1.13,0.8,0.54,0.58,0.76,1.23,0.87,,,,
Guinea-Bissau,GNB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3.51,1.85,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,6.7,5.81,5.84,6.2,5.74,5.67,5.85,5.03,5.28,4.83,4.79,5.08,3.92,4.17,4.89,4.67,4.34,4.44,4.48,5.6,5.24,3.97,,,
Grenada,GRD,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,6.39,7.09,9.11,6.09,4.76,5.82,7.18,4.49,4.39,4.48,4.02,3.84,3.61,5.4,4.57,3.44,3.96,5.35,4.54,5.97,5.1,3.51,,,
Greenland,GRL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,4.95,6.13,5.1,6.51,5.56,5.71,6.29,5.11,5,6.26,4.03,3.88,3.82,4,3.82,3.19,4.26,3.67,,,,,,,
Guatemala,GTM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,6.86,7.03,6.68,7.66,6.03,8.7,6.55,5.85,5.81,6.81,5.99,5.65,5.65,5.87,6.16,6.24,6.41,6.14,6.55,7.1,6.21,5.82,,,
Guam,GUM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,4.04,3.64,2.51,1.94,1.94,3.5,5.88,3.19,2.94,2.91,3.45,5.45,2.29,2.34,3.56,2.87,2.78,2.23,1.37,1.86,1.76,0.96,,,
High income,HIC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62637713,14.48592395,13.98084967,13.64351567,13.81661492,12.79116362,12.68678966,12.02101983,11.13984777,12.21371623,12.63800785,11.30934136,11.01370061,10.77200268,11.15149096,12.17667931,12.38232005,12.7909435,12.48318816,12.48952841,13.81875775,13.48141342,12.19901558,,,
"Hong Kong SAR, China",HKG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.84,28.35,31.47,33.54,36.28,38.22,40.15,40.43,39.83,42.45,42.76,40.41,40.79,38.76,43.52,47.66,50.31,51.86,53.52,53.67,56.81,57.53,57.16,,,
Honduras,HND,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.05,3.84,5.06,5.55,5.58,6.05,5.9,,6.34,5.87,4.79,5,,5.2,8.36,5.49,5.16,5.18,5.32,4.79,4.99,,,,
Heavily indebted poor countries (HIPC),HPC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22107099,4.288029663,3.930722248,4.457746611,5.013595486,4.826549415,4.650942453,4.533586397,4.071408188,4.303238381,4.093824292,3.362445418,3.182152756,2.675785723,3.157705152,3.715610051,3.701015235,3.133141219,2.940304284,3.19231617,3.171708669,,,,,
Croatia,HRV,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6.58,6.76,6.06,6.07,6.08,6.01,5.72,5.22,5.27,5.52,4.21,4.35,5.36,4.86,5.23,5.05,5.03,4.81,4.89,5.23,4.69,3.55,,,
Haiti,HTI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21,20.65,20.31,19.13,21.24,18.75,18.39,19.2,17.47,20.48,21.2,17.48,16.27,15,12.38,12.58,12.52,12.77,12.48,13.75,14.03,13.03,10.01,,,
IBRD only,IBD,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99425706,15.1178232,15.67389503,15.79090135,15.7561622,16.18268962,16.41096472,15.18914244,13.30625708,14.58770107,13.85219259,12.12439576,12.89790251,13.32410225,13.00811719,14.95054123,15.11468809,14.74169818,14.67528843,14.76001858,16.54293659,15.55338472,13.79230753,,,
IDA & IBRD total,IBT,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33928797,14.43023153,14.98122938,15.04128985,15.14359768,15.57303208,15.71340682,14.49003278,12.7476173,13.89379121,13.1633883,11.52361079,12.22979161,12.60335945,12.41801065,14.14142602,14.37731146,13.98217633,13.90759332,14.0045288,15.76812835,14.84443316,13.50798806,,,
IDA total,IDA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.649382538,3.650036391,4.14660686,,5.354441776,5.444452527,4.583118642,4.799433684,4.342320799,4.21100123,3.350720592,3.440017983,3.031414597,3.468746295,3.9443466,3.987120374,3.563697556,3.108217289,3.509002341,3.93129968,3.512109435,,,,
IDA blend,IDB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.448824956,,,6.240392316,4.53693215,5.908560382,4.469955334,4.689601227,3.30977059,4.114735903,3.518636721,3.818800294,4.132616589,4.30321982,3.751294139,3.277471177,3.783417446,4.30249899,3.764457977,,,,
Indonesia,IDN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,3.83,3.6,3.5,4.95,9.06,8.9,8.49,7.41,7.08,7.09,7,7.63,7.97,7.97,7.7,8.06,9.43,8.5,,,,
IDA only,IDX,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.659019016,3.658006781,3.412957101,3.949611071,4.471429239,4.971220592,4.930706773,4.614907489,4.029563801,4.259079494,3.930296703,3.37292113,3.086894611,2.733257805,3.252216668,3.837898624,3.774157786,3.425451871,2.976320907,3.310592174,,,,,,
Isle of Man,IMN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,5.94,7.04,8.42,8.31,7.64,7.65,7.38,4.09,7.79,6.31,5.97,5.31,5.78,6.31,8.56,9.33,9.72,9.18,9.46,10.81,9.39,7.64,,,
Not classified,INX,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57,36.38,33.59,24.48,23.66,23.09,22.09,18.59,16.26,12.4,9.55,8.5,7.92,8.08,8.21,8.99,8.09,7.19,8,9.68,9.95,12.67,11.33,,,
"Iran, Islamic Rep.",IRN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,5.97,4.74,5.11,4.26,4.57,1.41,,,,3.63,4.6,,6.66,7.03,6.13,6.26,6.37,4.92,,,,,,,
Iraq,IRQ,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,
Iceland,ISL,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,7.09,7.14,7.11,6.52,6.38,4.88,5.73,3.95,3.97,4.26,4.37,4.09,4.79,5.12,5.37,5.47,5.51,5.78,6.07,6.23,7.71,5.84,,,
Israel,ISR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13,11.48,9.85,9.25,10.4,9.75,9.57,8.48,7.85,9.72,9.2,8.73,8.86,8.76,9,11.46,10.88,8.94,8.89,8.78,10.5,10.28,9.27,,,
Italy,ITA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12,8.35,7.72,7.38,7.87,7.36,6.25,5.42,5.05,6.06,7.73,6.21,5.18,4.81,4.81,5.19,5.18,5.09,4.93,5,5.71,5.21,3.89,,,
Jamaica,JAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,8.11,9.67,7.84,6.58,5.01,5.42,3.01,3.54,3.54,3.88,2.87,2.5,2.58,3.65,4.73,4.48,3.62,3.21,3.17,4.41,3.66,2.67,,,
Jordan,JOR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,7.38,5.42,5.51,5.4,6.86,6.41,7.9,6.44,4.64,4.26,4.09,3.63,3.45,3.17,4.4,4.79,4.45,4.74,4.96,4.99,4.28,3.16,,,
Japan,JPN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19,15.24,14.82,14.51,14.49,13.47,12.38,11.46,9.68,11.36,11.98,10.14,10.24,10.89,11.26,12.79,13.01,13.01,11.94,12.25,14.12,13.08,11.27,,,
Kazakhstan,KAZ,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,5.06,4.9,5.25,4.29,4.03,3.57,4.04,1.95,2.92,4.97,5.74,5.81,5.96,5.99,4.89,5.2,5.85,5.99,5.63,6.26,8.65,7.53,,,
Kenya,KEN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,5.07,5.65,4.6,5.26,4.11,4.99,5.2,5.69,6.29,7.22,,,5.35,,4.17,5.38,4.79,3.82,3.81,4.75,3.59,,,,
Kyrgyz Republic,KGZ,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,2.8,3.14,3.26,3.47,3.29,6.17,4.6,3.18,2.16,2.71,3.82,2.34,2.21,2.04,2.8,3.13,3.66,3.85,5.33,5.08,3.98,5.03,,,
Cambodia,KHM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.89,2.28,1.78,1.98,2.32,1.42,2.48,3.5,5.37,2.55,2.12,1.62,1.66,2.77,2.51,2.24,1.62,1.11,1.42,1.7,1.04,,,,
Kiribati,KIR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,1.32,1.8,2.43,1.31,8.14,1.82,2.06,1.5,5,5.32,8.4,5.62,2.23,4.89,,3.85,,,,,
St. Kitts and Nevis,KNA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,4.97,5.88,6.4,7.02,8.33,6.78,7.44,4.47,4.34,4.54,5.87,5.2,5.68,6.58,7.32,6.04,5.51,,,,,,,,
"Korea, Rep.",KOR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.59,19.05,19.02,18.65,16.65,15.25,13.87,13.26,11.48,12.95,11.88,10.43,9.79,10.44,11.42,14.67,15.7,15.02,13.97,15.87,17.88,16.35,15.27,,,
Kuwait,KWT,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,4.75,5.29,4.75,4.37,,4.91,5.03,6.42,,6.6,8,,6.84,7.21,8.23,6.53,8.11,7.17,7.39,7.91,6.87,,,,
Latin America & Caribbean (excluding high income),LAC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06382636,13.9702069,12.21723527,12.63813518,13.53217005,13.43816672,13.79791122,11.19580521,12.14780134,13.78260898,13.69332172,12.38995426,12.01432198,12.42386927,11.94042775,12.0154872,11.98157224,11.64005131,11.38386399,11.81843122,12.90624314,11.56970783,9.988546044,,,
Lao PDR,LAO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,6.1,3.17,3.29,8.11,10.62,7.36,7.35,9.52,6.05,5.95,3.91,,,,
Lebanon,LBN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.74,4.38,3.65,3.54,3.26,3.27,3.01,2.59,3.19,2.79,2.34,2.18,3.14,2.52,2.25,2.3,2.34,3.07,2.61,1.92,3.04,5,,,
Liberia,LBR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,4,4.51,3.58,,,,,,3.57,2.98,8.31,5.73,,,,,,
St. Lucia,LCA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,5.3,9.59,12.07,5.36,5.52,4.53,4.44,3.85,6.54,4.39,4.6,4.13,2.72,4.5,5.05,4.29,4.84,4.36,4.61,4.59,,,,,
Latin America & Caribbean,LCN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30037478,13.2196668,11.68437899,11.97927051,12.81567177,12.89708411,13.3280406,10.8551059,11.56968588,12.88271127,12.85078247,11.61275901,11.30479089,11.57760185,11.3064085,11.41606298,11.38245633,11.09804775,10.81618727,11.19598915,12.30908285,11.00200251,9.4016408,,,
Least developed countries: UN classification,LDC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.620624325,,4.196958068,3.640619368,3.101191289,2.854746065,2.543541768,3.022272143,3.535730916,3.482296281,3.142452572,2.844117322,3.058872802,,,,,,
Low income,LIC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.934794294,,,2.821664489,2.804778145,2.669989701,2.462885215,,,,,,,
Liechtenstein,LIE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,3.5,3.33,4.64,4.17,4.88,5.18,3.84,4.16,3.23,2.95,3.54,3.72,3.78,3.39,4.22,4.95,4.73,,4.64,5.36,6.2,3.01,,,
Lower middle income,LMC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.171821804,7.600664942,8.547323158,8.859325131,9.280339778,9.22576645,9.09856957,8.486377903,6.700557521,8.013101406,7.314184727,6.027610153,7.381783754,7.853659553,8.097762647,9.533551997,10.00886841,10.03960482,9.901761456,10.26325636,11.85288383,10.94575793,,,,
Low & middle income,LMY,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36621057,15.44724881,16.08483999,16.17410065,16.24379356,16.62617706,16.69720255,15.40988304,13.45442753,14.70938775,13.77233622,12.13289002,12.90750818,13.35496736,13.04538675,14.88815401,15.2163844,14.77589589,14.68779803,14.83236034,16.6803314,15.72572927,14.3847057,,,
Lesotho,LSO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,1.39,2.8,1.83,1.06,,,,2.73,2.74,5.63,2.08,3,2.86,2.01,2.46,3.27,2.67,3.31,2.98,2.77,2.95,,,,
Late-demographic dividend,LTE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77690449,16.99987081,17.79404442,18.22752607,17.81859117,18.04106607,19.03969428,16.92748928,14.5132832,16.47204339,15.55334218,13.86520724,14.49354264,14.47477459,14.30908942,16.30510618,16.53577932,17.07957889,16.72597245,16.45474637,18.43301596,17.64417116,16.62647373,,,
Lithuania,LTU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,5.59,5.72,5.31,6.1,6.27,6.01,5.8,4.7,3.86,4.12,3.7,3.63,3.61,4.07,5.1,5.5,5.76,4.89,5.08,6.18,5.65,4.7,,,
Luxembourg,LUX,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49,13.4,10.13,8.24,7.67,8.36,6.97,6.08,4.34,5.16,4.93,4.02,4.08,3.77,3.97,4.25,4.41,4.36,4.35,4.18,4.34,3.71,3.25,,,
Latvia,LVA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,6.57,6.35,6.05,5.92,5.99,6.29,6.06,6.01,5.64,6.42,5.44,5.96,7.02,8.77,10,9.97,9.25,8.24,8.58,10.8,9,7.24,,,
"Macao SAR, China",MAC,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.57,2.52,4.26,4.78,3.54,3.53,6.05,4.59,4.89,5.08,5.16,5.15,3.8,3.45,13.73,10.83,3.43,2.88,9.33,9.06,15.62,13.26,,,
St. Martin (French part),MAF,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58,7.54,6.26,6.01,7.26,6.96,6.68,6.09,4.72,5.36,5.87,4.78,3.51,3.61,3.8,4.02,3.94,3.95,3.94,4.03,4.76,4.08,3.64,,,
Monaco,MCO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
